,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,,,,,,,,,,,,,
A,-40,-40,-30,-30,-20,-20,-10,-10,-10,-10,1559,1720,1720,1727,1727,1796,1807,1814,1862,1875,1882,1882,1893,1965,1976,1976,2016,2016,2016,2092,2092,2092,2092,2105,2105,2105,2105,2105,2105,2105,2105,2105,2105,2105,2105,2105,2105,2105,2105,2107,2107,2107,2107,2107,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136,,,,,2136,2136,,,,,,,
B,-70,-60,-50,-50,-40,-30,-20,-20,-20,-20,-10,-10,-10,-10,1162,1224,1233,1326,1326,1327,1366,1366,1374,1397,1437,1437,1461,1461,1466,1468,1490,1490,1490,1497,1497,1497,1497,1497,1497,1497,1529,1529,1529,1529,1529,1529,1529,1529,1529,1529,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,,,,,1543,1543,1543,1543,1543,1543,1543,1543,
C,-80,-50,-50,-50,-40,-40,-40,-40,-30,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-10,-10,-10,-10,1175,1175,1175,1175,1195,1195,1204,1204,1258,1278,1307,1334,1383,1387,1416,1443,1443,1476,1479,1479,1539,1539,1539,1638,1638,1638,1718,1718,1718,1718,1718,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,,,,,,,,,,,,,
D,-70,-40,-20,-20,-20,-10,-10,1365,1368,1448,1529,1584,1584,1629,1636,1690,1712,1739,1759,1806,1835,1835,1835,1842,1854,1876,1905,1905,1916,1945,1959,1959,1959,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1993,1993,1993,1993,1993,1993,2006,2006,2006,2006,2006,2017,2017,2017,2017,2017,2017,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,,,,,,,,,,,,,
E,-70,-60,-40,-40,-40,-20,-20,-20,-20,-10,-10,1642,1754,1754,1778,1778,1785,1787,1855,1872,1909,1916,1940,1973,2009,2009,2009,2033,2033,2033,2033,2033,2033,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,,,,,,,,,,,,,
F,-70,-50,-50,-50,-40,-40,-20,-20,-20,-20,-10,-10,1753,1753,1803,1803,1803,1832,1832,1832,1863,1892,1896,1925,1925,1939,1939,1965,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,,,,,1979,1979,1979,1979,1979,1979,1979,1979,1979
G,-50,-50,-40,-30,-20,-20,-20,-20,-20,-20,-20,-10,-10,-10,-10,1935,2014,2014,2014,2014,2023,2076,2115,2115,2177,2177,2177,2177,2177,2177,2177,2187,2187,2187,2187,2187,2187,2187,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,,,,,2226,2226,2226,2226,2226,2226,2226,,
H,-60,-60,-60,-50,-40,-40,-30,-30,-20,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1468,1468,1482,1482,1482,1544,1544,1544,1573,1573,1573,1584,1584,1584,1584,1584,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,,,,,1586,1586,,,,,,,
I,-60,-50,-50,-50,-30,-30,-20,-10,-10,-10,1111,1314,1314,1412,1412,1412,1412,1423,1473,1508,1519,1519,1563,1659,1659,1659,1659,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1721,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742,,,,,1742,1742,1742,1742,1742,1742,,,
J,-70,-70,-60,-30,-30,-30,-20,-20,-10,-10,-10,-10,-10,-10,1316,1316,1351,1368,1392,1467,1467,1502,1519,1590,1590,1642,1669,1669,1716,1716,1716,1729,1776,1776,1776,1776,1776,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,,,,,,,,,,,,,
A,-0.0187265917603,-0.0187265917603,-0.014044943820225,-0.014044943820225,-0.00936329588015,-0.00936329588015,-0.004681647940075,-0.004681647940075,-0.004681647940075,-0.004681647940075,0.729868913857678,0.805243445692884,0.805243445692884,0.808520599250936,0.808520599250936,0.840823970037453,0.845973782771535,0.849250936329588,0.871722846441947,0.877808988764045,0.881086142322097,0.881086142322097,0.88623595505618,0.919943820224719,0.925093632958802,0.925093632958802,0.943820224719101,0.943820224719101,0.943820224719101,0.97940074906367,0.97940074906367,0.97940074906367,0.97940074906367,0.985486891385768,0.985486891385768,0.985486891385768,0.985486891385768,0.985486891385768,0.985486891385768,0.985486891385768,0.985486891385768,0.985486891385768,0.985486891385768,0.985486891385768,0.985486891385768,0.985486891385768,0.985486891385768,0.985486891385768,0.985486891385768,0.986423220973783,0.986423220973783,0.986423220973783,0.986423220973783,0.986423220973783,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
B,-0.045366169799093,-0.038885288399222,-0.032404406999352,-0.032404406999352,-0.025923525599482,-0.019442644199611,-0.012961762799741,-0.012961762799741,-0.012961762799741,-0.012961762799741,-0.00648088139987,-0.00648088139987,-0.00648088139987,-0.00648088139987,0.753078418664938,0.793259883344135,0.799092676604018,0.859364873622813,0.859364873622813,0.8600129617628,0.885288399222294,0.885288399222294,0.89047310434219,0.905379131561892,0.931302657161374,0.931302657161374,0.946856772521063,0.946856772521063,0.950097213220998,0.951393389500972,0.965651328580687,0.965651328580687,0.965651328580687,0.970187945560596,0.970187945560596,0.970187945560596,0.970187945560596,0.970187945560596,0.970187945560596,0.970187945560596,0.990926766040182,0.990926766040182,0.990926766040182,0.990926766040182,0.990926766040182,0.990926766040182,0.990926766040182,0.990926766040182,0.990926766040182,0.990926766040182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
C,-0.045924225028703,-0.028702640642939,-0.028702640642939,-0.028702640642939,-0.022962112514351,-0.022962112514351,-0.022962112514351,-0.022962112514351,-0.017221584385764,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.011481056257176,-0.005740528128588,-0.005740528128588,-0.005740528128588,-0.005740528128588,0.67451205510907,0.67451205510907,0.67451205510907,0.67451205510907,0.685993111366246,0.685993111366246,0.691159586681975,0.691159586681975,0.722158438576349,0.733639494833525,0.750287026406429,0.765786452353616,0.793915040183697,0.796211251435132,0.812858783008037,0.828358208955224,0.828358208955224,0.847301951779564,0.84902411021814,0.84902411021814,0.883467278989667,0.883467278989667,0.883467278989667,0.940298507462687,0.940298507462687,0.940298507462687,0.986222732491389,0.986222732491389,0.986222732491389,0.986222732491389,0.986222732491389,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
D,-0.033832769453843,-0.019333011116481,-0.009666505558241,-0.009666505558241,-0.009666505558241,-0.00483325277912,-0.00483325277912,0.659739004349927,0.661188980183664,0.699855002416626,0.739004349927501,0.765587240212663,0.765587240212663,0.787336877718705,0.790720154664089,0.816819719671339,0.827452875785404,0.840502658289029,0.850169163847269,0.872885451909135,0.886901884968584,0.886901884968584,0.886901884968584,0.890285161913968,0.896085065248913,0.906718221362977,0.920734654422426,0.920734654422426,0.926051232479459,0.940067665538908,0.946834219429676,0.946834219429676,0.946834219429676,0.960850652489125,0.960850652489125,0.960850652489125,0.960850652489125,0.960850652489125,0.960850652489125,0.960850652489125,0.960850652489125,0.960850652489125,0.960850652489125,0.960850652489125,0.960850652489125,0.960850652489125,0.960850652489125,0.960850652489125,0.960850652489125,0.963267278878685,0.963267278878685,0.963267278878685,0.963267278878685,0.963267278878685,0.963267278878685,0.969550507491542,0.969550507491542,0.969550507491542,0.969550507491542,0.969550507491542,0.974867085548574,0.974867085548574,0.974867085548574,0.974867085548574,0.974867085548574,0.974867085548574,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
E,-0.034398034398034,-0.02948402948403,-0.01965601965602,-0.01965601965602,-0.01965601965602,-0.00982800982801,-0.00982800982801,-0.00982800982801,-0.00982800982801,-0.004914004914005,-0.004914004914005,0.806879606879607,0.861916461916462,0.861916461916462,0.873710073710074,0.873710073710074,0.877149877149877,0.878132678132678,0.911547911547912,0.91990171990172,0.938083538083538,0.941523341523341,0.953316953316953,0.969533169533169,0.987223587223587,0.987223587223587,0.987223587223587,0.999017199017199,0.999017199017199,0.999017199017199,0.999017199017199,0.999017199017199,0.999017199017199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
F,-0.035371399696817,-0.025265285497726,-0.025265285497726,-0.025265285497726,-0.020212228398181,-0.020212228398181,-0.010106114199091,-0.010106114199091,-0.010106114199091,-0.010106114199091,-0.005053057099545,-0.005053057099545,0.885800909550278,0.885800909550278,0.911066195048004,0.911066195048004,0.911066195048004,0.925720060636685,0.925720060636685,0.925720060636685,0.941384537645275,0.956038403233957,0.958059626073775,0.972713491662456,0.972713491662456,0.979787771601819,0.979787771601819,0.992925720060637,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
G,-0.022461814914645,-0.022461814914645,-0.017969451931716,-0.013477088948787,-0.008984725965858,-0.008984725965858,-0.008984725965858,-0.008984725965858,-0.008984725965858,-0.008984725965858,-0.008984725965858,-0.004492362982929,-0.004492362982929,-0.004492362982929,-0.004492362982929,0.869272237196766,0.904761904761905,0.904761904761905,0.904761904761905,0.904761904761905,0.908805031446541,0.932614555256065,0.950134770889488,0.950134770889488,0.977987421383648,0.977987421383648,0.977987421383648,0.977987421383648,0.977987421383648,0.977987421383648,0.977987421383648,0.982479784366577,0.982479784366577,0.982479784366577,0.982479784366577,0.982479784366577,0.982479784366577,0.982479784366577,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
H,-0.037831021437579,-0.037831021437579,-0.037831021437579,-0.031525851197982,-0.025220680958386,-0.025220680958386,-0.018915510718789,-0.018915510718789,-0.012610340479193,-0.006305170239596,-0.006305170239596,-0.006305170239596,-0.006305170239596,-0.006305170239596,-0.006305170239596,-0.006305170239596,-0.006305170239596,-0.006305170239596,-0.006305170239596,-0.006305170239596,0.925598991172762,0.925598991172762,0.934426229508197,0.934426229508197,0.934426229508197,0.973518284993695,0.973518284993695,0.973518284993695,0.991803278688525,0.991803278688525,0.991803278688525,0.998738965952081,0.998738965952081,0.998738965952081,0.998738965952081,0.998738965952081,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
I,-0.034443168771527,-0.028702640642939,-0.028702640642939,-0.028702640642939,-0.017221584385764,-0.017221584385764,-0.011481056257176,-0.005740528128588,-0.005740528128588,-0.005740528128588,0.637772675086108,0.754305396096441,0.754305396096441,0.810562571756602,0.810562571756602,0.810562571756602,0.810562571756602,0.816877152698048,0.845579793340987,0.865671641791045,0.871986222732491,0.871986222732491,0.897244546498278,0.952353616532721,0.952353616532721,0.952353616532721,0.952353616532721,0.983926521239954,0.983926521239954,0.983926521239954,0.983926521239954,0.983926521239954,0.983926521239954,0.983926521239954,0.983926521239954,0.983926521239954,0.983926521239954,0.983926521239954,0.983926521239954,0.987944890929965,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
J,-0.03869541182974,-0.03869541182974,-0.033167495854063,-0.016583747927032,-0.016583747927032,-0.016583747927032,-0.011055831951354,-0.011055831951354,-0.005527915975677,-0.005527915975677,-0.005527915975677,-0.005527915975677,-0.005527915975677,-0.005527915975677,0.727473742399116,0.727473742399116,0.746821448313986,0.756218905472637,0.769485903814262,0.810945273631841,0.810945273631841,0.830292979546711,0.839690436705362,0.87893864013267,0.87893864013267,0.907683803206191,0.92260917634052,0.92260917634052,0.948590381426202,0.948590381426202,0.948590381426202,0.955776672194583,0.981757877280265,0.981757877280265,0.981757877280265,0.981757877280265,0.981757877280265,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
